Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-191-5p	22.98360825	22.59119034	23.64173317	22.82704926	22.67432785	22.96205521	23.70626068	22.78208542	22.77449989	22.7121067	22.92743683	22.89806175	22.77666092	22.93196106	23.85357666
miR-192-5p	27.31808472	30.20051575	25.0908699	27.19577789	30.53796196	27.20204353	25.13702965	31.08410072	29.70953178	27.28586197	29.7322998	29.42290878	27.1994648	27.46416855	25.3011837
miR-195-5p	28.43229103	28.84318542	29.33429718	27.66284943	28.98423195	27.91799164	29.35183144	29.44931221	27.26284981	28.39890099	27.30237198	27.2862072	27.84684372	28.4293766	29.38657951
miR-204-5p	28.24148941	31.28023148	32.22147369	27.06396294	31.57174301	27.08613968	31.87891197	32.12077332	26.09389877	28.12958336	26.0989399	26.11734009	26.91600609	28.27026749	32.38268661
miR-218-5p	27.37614822	28.73536873	32.29044342	26.53248596	28.9973793	26.68338203	32.21366119	29.06569481	25.84772682	27.20159912	25.59976768	25.45255661	26.62795639	27.83720207	32.90150452
miR-23a-3p	33.06735611	32.12198257	37.30826187	NA	34.63568878	33.76283264	37.54576111	33.39254761	NA	34.08272171	NA	34.15473557	33.57813263	34.24034119	35.20398331
miR-26b-5p	26.38569069	25.90892982	27.43608856	26.55841064	25.70700264	26.64016724	27.25167084	26.24140739	27.04693604	26.66315079	27.47868538	27.02436638	26.83971024	26.39950371	27.38101387
miR-323a-3p	30.61140633	31.7319355	34.65953445	29.57208443	32.22096252	29.7581768	38.30181122	32.30997849	28.52948189	30.58295059	28.77045631	28.62893486	29.9168148	30.85460472	34.20380402
miR-335-5p	28.08276367	26.93527794	31.49625778	28.58348083	27.08802795	28.45804024	31.98431587	27.34733582	30.37648201	27.92382431	30.35105705	30.01439285	28.72050476	27.88020515	31.69395447
miR-340-5p	30.77356911	32.11181259	31.62399673	29.71160698	31.89113426	29.97500229	30.94955254	32.52920151	29.03191376	30.73031807	28.93116951	29.04095459	29.79381943	30.60396004	31.77568054
miR-342-3p	25.89013672	27.55920029	26.85099983	24.78355217	27.62121391	24.95352364	27.05504036	27.81956863	23.60117912	26.06481171	23.79026604	24.01577377	24.96116447	26.01996803	26.73365784
miR-361-5p	35.11499786	33.92240906	32.94506454	33.64648819	33.93688202	34.2038269	34.44731522	35.03466415	34.87074661	34.59764481	34.3844223	33.85621643	33.49925232	33.31254959	35.17204285
miR-365a-3p	30.50020981	31.08817101	30.1614399	30.59765434	31.52781868	31.14679909	30.17043495	31.42784691	30.69801521	30.87457085	31.23139191	31.01364708	30.87579155	30.70023727	30.07732391
miR-369-5p	32.05218506	31.24347496	36.28239822	32.86653137	31.61071777	32.62029266	34.11315155	32.18239212	34.54722977	33.28516769	35.21133804	34.52753067	34.17749405	32.37913895	35.66114044
miR-375	31.44170952	33.42859268	31.25156784	32.64684677	35.20171356	32.54700089	30.51210213	34.72865677	33.27603531	32.23213577	34.84246445	32.75136948	32.35960007	32.76922607	30.54953575
miR-382-5p	30.00401497	30.00391197	33.47961426	29.80632019	29.68264389	30.11982536	33.06074142	29.5942955	29.6364727	29.8777771	29.50401115	29.01900482	29.57202339	29.95358467	33.75112152
miR-451a	30.06141663	29.03052521	36.28441238	30.62607384	29.01875305	30.9253788	34.40380096	28.77997017	32.76063538	30.45673561	32.50141907	32.92435837	30.9605217	30.02369308	36.06683731
miR-495-3p	31.39945793	30.7514782	33.70829391	31.69185066	31.3048687	32.16558456	38.25965118	31.36950684	31.49460983	31.13982582	31.67494392	31.35429192	31.59375763	31.4937191	33.73022461
miR-9-5p	25.19104385	32.09030914	34.4011879	23.84604073	32.92829895	24.09690094	34.58316803	34.26900482	23.03258896	25.18131638	22.98790169	22.71141434	24.05969429	25.0268364	34.62249374
miR-98-5p	34.01021576	NA	35.74278641	32.90770721	37.96591187	34.03995132	33.90756226	35.97092438	32.26590347	34.12180328	32.6383667	33.3145256	33.73780823	34.2644577	33.21679688
