Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-1289	5	5	3	2	4	7	3	3	6	3	3	9	8	3	3
miR-129-2-3p	1012	14	14	1991	19	1018	18	13	4400	1049	3726	2523	1454	729	14
miR-129-5p	161	4	10	316	6	290	3	6	621	160	445	431	223	125	5
miR-1290	16	33	7	8	17	10	9	20	11	10	10	11	19	12	6
miR-1291	8	8	5	6	5	7	4	4	3	7	4	5	4	8	2
miR-1292	1	2	4	8	4	4	4	4	4	6	2	2	5	3	5
miR-1293	2	2	3	3	1	2	7	1	1	3	1	3	5	2	2
miR-1294	3	14	3	8	10	2	3	7	5	5	5	3	7	4	2
miR-1295a	6	1	7	3	6	3	5	4	3	4	1	3	4	2	1
miR-1296	36	2	4	34	7	30	4	6	89	40	64	32	66	27	3
miR-1297	5	7	3	12	10	6	9	8	7	11	7	3	9	5	4
miR-1298	13	7	4	16	7	5	11	5	22	15	9	17	9	11	4
miR-1299	4	6	10	1	6	5	7	6	5	6	9	4	4	6	2
miR-1301	14	7	12	17	4	6	6	3	22	10	16	9	9	5	5
miR-1302	2	10	5	5	10	4	5	12	3	5	1	3	8	7	3
miR-1303	4	11	2	3	13	4	2	2	3	5	6	2	4	4	1
miR-1304-5p	7	6	1	2	7	6	4	4	4	5	3	2	6	7	2
miR-1305	8	6	9	7	9	4	5	6	6	2	7	1	12	10	3
miR-1306-3p	3	6	18	10	3	5	16	6	3	9	1	3	9	5	16
miR-1307-3p	12	5	9	5	8	13	6	11	11	10	12	11	7	10	6
miR-130a-3p	2465	2535	442	1463	2988	246	436	3092	927	2753	751	518	831	1964	219
miR-130b-3p	105	105	103	73	66	62	105	88	48	93	25	31	30	47	25
miR-132-3p	632	81	50	1060	76	249	48	74	2543	669	2071	1747	1262	694	51
miR-1321	2	5	3	5	6	6	5	1	6	6	2	8	7	6	1
miR-1322	8	9	8	9	3	10	11	9	7	11	5	9	7	3	1
miR-1323	20150	32401	10	8695	25989	7474	10	26852	20	19816	7	27	6348	13349	9
miR-1324	5	11	2	7	3	7	7	6	6	4	2	4	6	7	8
miR-133a	43	40	9	50	40	34	7	43	78	47	46	61	48	38	2
miR-133b	14	20	7	17	14	17	6	9	12	21	12	18	17	13	4
miR-134	10	15	6	11	12	10	3	8	6	10	9	8	7	15	3
miR-135a-5p	295	45	14	511	43	263	18	63	1060	291	581	591	196	142	5
miR-135b-5p	2224	2312	39	2380	1406	1874	33	2065	3709	2500	2352	2548	1392	1745	18
miR-136-5p	1083	1410	56	647	1284	720	42	1289	716	1018	472	496	645	901	22
miR-137	111	17	6	171	15	133	8	16	400	92	293	190	199	76	11
miR-138-5p	7	7	16	7	8	15	16	3	15	16	8	12	8	10	11
miR-139-3p	153	118	53	156	103	53	59	130	195	165	151	132	95	98	21
miR-139-5p	153	165	71	113	141	48	85	170	114	181	107	56	109	114	30
miR-140-3p	68	46	17	87	44	77	36	39	133	75	108	94	40	46	4
miR-140-5p	364	289	143	333	260	321	159	233	523	363	294	346	277	220	76
miR-141-3p	1182	1534	22	436	1465	458	21	1414	17	1092	7	10	220	493	8
miR-142-3p	4124	4869	3395	2568	4270	1244	3230	4743	943	4407	647	628	1903	3144	1583
miR-142-5p	9	8	5	7	5	4	7	9	7	12	5	1	21	6	7
miR-143-3p	6132	8530	666	2803	8211	1756	710	7687	808	6280	571	361	1839	3051	230
miR-144-3p	2383	2813	1	1242	3108	120	1	3311	364	2512	169	189	1467	3702	102
miR-145-5p	6012	6345	2219	3621	6179	1373	2477	6118	2472	6294	1999	1309	3062	3909	1036
miR-1468	6	3	3	4	2	6	2	8	1	6	8	3	9	2	4
miR-1469	5	4	3	2	5	4	1	4	6	10	2	4	4	5	2
miR-146a-5p	65	98	99	57	37	48	96	69	72	96	35	44	30	25	20
miR-146b-3p	10	8	4	8	11	5	5	5	10	4	4	9	8	7	5
miR-146b-5p	87	28	189	84	30	51	166	31	64	71	34	20	26	30	52
miR-1470	8	11	5	6	12	8	4	12	7	7	2	9	3	13	3
miR-1471	7	3	4	6	5	9	4	4	3	7	5	8	4	6	2
miR-147a	7	2	2	3	6	4	4	3	4	7	2	1	4	7	2
miR-147b	7	11	2	7	8	7	7	4	5	11	2	8	10	4	4
miR-148a-3p	2592	1076	7666	1919	949	990	7548	1061	153	2572	126	67	2650	3871	6709
miR-148b-3p	1789	1832	736	1584	1759	915	718	1811	1904	2054	1409	1460	1122	1805	481
miR-149-5p	332	114	32	656	104	331	35	104	1243	386	1031	846	377	213	3
miR-150-5p	451	428	439	501	426	320	457	366	650	594	637	582	599	641	328
miR-151a-3p	207	166	106	229	127	250	129	127	345	210	243	263	234	208	143
miR-151a-5p	68	83	31	97	61	76	38	56	139	77	122	96	112	100	32
miR-151b	3	2	4	7	5	5	4	6	6	7	6	2	6	4	4
miR-152	130	130	79	100	120	34	69	138	53	135	29	24	54	104	35
miR-153	32	10	13	27	9	33	10	10	69	24	51	30	36	23	4
miR-1537	12	10	13	10	18	9	11	11	10	11	6	12	13	21	9
miR-1538	2	5	9	6	6	5	7	6	5	11	4	1	7	4	5
miR-1539	9	18	9	14	13	9	4	14	14	14	9	17	10	8	2
miR-154-5p	197	238	15	171	198	50	20	217	196	226	134	155	152	153	13
miR-155-5p	1	1	1	1	1	1	1	1	1	1	1	1	21	5	1
miR-15a-5p	2292	2295	1311	1883	2305	1111	1297	2003	2286	2425	1659	1682	1471	2061	674
miR-15b-5p	1984	2159	817	1344	2046	632	863	2047	1229	2194	1020	784	880	1997	507
miR-16-5p	3851	3838	1354	2972	2542	1075	1457	3761	3713	4447	2193	1526	1640	1788	442
miR-181a-5p	9956	8286	541	12238	7996	9082	539	7567	19922	10846	15193	17730	8997	8269	285
miR-181b-5p	417	141	29	582	114	375	36	135	1431	444	1235	1087	641	334	16
miR-181c-5p	193	112	12	215	69	161	14	115	506	215	343	328	222	161	7
miR-182-5p	19	31	1	20	41	12	4	27	13	29	6	10	3	14	1
miR-1825	11	8	10	8	4	8	5	7	4	6	6	4	15	9	5
miR-1827	8	10	4	8	7	7	11	8	10	11	1	4	11	11	2
miR-183-5p	30	49	2	15	32	13	12	32	13	25	7	8	19	35	2
miR-184	3	10	3	7	6	3	6	6	5	11	4	2	5	5	1
miR-185-5p	312	330	120	279	293	233	114	258	311	350	266	163	117	134	32
miR-186-5p	197	216	138	178	141	149	140	149	210	194	161	124	143	127	58
miR-187-3p	9	5	7	8	5	8	6	1	26	14	14	21	7	6	6
miR-188-3p	8	10	12	6	11	6	5	10	10	9	4	6	6	6	2
miR-188-5p	23	17	23	29	26	17	37	19	14	22	14	17	25	31	33
miR-18a-5p	34	32	37	22	45	12	32	33	28	35	15	14	27	27	15
miR-18b-5p	7	8	6	6	7	10	6	8	5	13	2	5	6	9	3
miR-1908	11	10	5	4	9	4	11	8	18	10	14	11	12	8	7
